Site,Link,Name,Author,Publisher,Year,Language
book-ye.com.ua,https://book-ye.com.ua/catalog/psykholohiya/use-zamakhalo-ale-nadiya-ye/,Усе замахало. Але надія є,Марк Менсон,Наш Формат,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kazky/rizdvozavr-ta-zymova-vidma/,Різдвозавр та Зимова Відьма,Том Флетчер,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kazky/kazky-pid-yalynku/,Казки під ялинку,"Галина Вдовиченко, Богдана Матіяш, Іван Андрусяк, Галина Малик, Ірина Лазуткіна",Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/pedahohika-ta-vykhovannya/uroky-bez-moroky-khoroshi-otsinky-bez-zajvykh-strazhdan/,Уроки без мороки. Хороші оцінки без зайвих страждань,"Барбара Оклі, Терренс Сейновскі, Елістер Макконвіл",Наш Формат,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/dytyacha-proza/rizdvo-prykhodyt-u-krayinu-mumi-troliv/,Різдво приходить у Країну Мумі-тролів,"Туве Янссон, Алекс Гаріді, Сесілія Давідссон",Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-zarubizhna-proza/vidverto-pro-klavdiyu/,Відверто про Клавдію,Деніел Кіз,Клуб Сімейного Дозвілля,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/zhurnalistyka-reportazhi/rybka-dyadechka-zavena/,Рибка дядечка Завена,Ольга Карі,Темпора,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-ukrayinska-poeziya/rep-yakhy/,Реп'яхи,"Сергій ""Колос"" Мартинюк",,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kazky/kazky-rizdva/,Казки Різдва,Богдана Матіяш,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kazky/odnoho-razu-na-rizdvo/,Одного разу на Різдво,Надійка Гербіш,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/rozvyvalni-knyzhky/rizdvyani-holovolomky/,Різдвяні головоломки,Саймон Тадхоуп,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/dytyacha-proza/kotokhatka/,Котохатка,Галина Вдовиченко,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/ihry-ta-ihrashky/velyka-knyha-rizdvyanykh-ihor/,Велика книга різдвяних ігор,Клаудія Бордін,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-zarubizhna-proza/divchyna-yaka-chytala-u-metro/,"Дівчина, яка читала у метро",Фере-Флері Крістін,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/detektyvy/aptekarka/,Аптекарка,Інґрід Нолль,Клуб Сімейного Дозвілля,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/fentezi/batko-vepr/,Батько Вепр,Террі Пратчетт,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/dytyacha-proza/snihova-sestrychka/,Снігова сестричка,Мая Люнде,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/rozvyvalni-knyzhky/intelektualni-ihry-dlya-rozumnykh-ditej/,Інтелектуальні ігри для розумних дітей,,Клуб Сімейного Дозвілля,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/dytyacha-proza/zaboronenyj-santa-abo-pershe-rizdvo-slavka/,Заборонений Санта або Перше Різдво Славка,"Ярослав Степаненко, Олена Бугренкова",Vivat,2020,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kazky/tsurpalko/,Цурпалко,"Джулія Дональдсон, Аксель Шефлер",Читаріум,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/psykholohiya/spotykayuchys-ob-shchastya-pozytyvna-psykholohyya/,Спотикаючись об щастя. Позитивна психология,Деніел Ґілберт,Клуб Сімейного Дозвілля,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kazky/kryzhane-sertse-2-podarunkova-knyha/,Крижане серце 2. Подарункова книга,,Егмонт Україна,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/zarubizhna-klasyka/mister-pip-llojd-dzhons/,Містер Піп. Ллойд Джонс,Ллойд Джонс,,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/biznes-psykholohiya/dumaj-yak-miljoner-17-urokiv-dostatku-dlya-tykh-kto-hotovyj-rozbahatity/,"Думай як мільйонер. 17 уроків достатку для тих, кто готовий розбагатіти",Гарв Екер,Клуб Сімейного Дозвілля,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/dytyacha-proza/tayemnytsya-rizdvyanoho-myshenyaty/,Таємниця різдвяного мишеняти,"Норберт Ланда, Аннабель Спенслі",Абрикос,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/biznes-psykholohiya/shkura-u-hri/,Шкура у грі,Насім Ніколас Талеб,Наш Формат,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kazky/malenkyj-santa/,Маленький Санта,Йоко Маруяма,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/ekonomika/ekonomika-ponchyka-yak-ekonomisty-xxi-stolittya-bachat-svit/,Економіка пончика. Як економісти XXI століття бачать світ,Кейт Реворт,Наш Формат,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kalendari/literaturnyj-kalendar-2020/,Літературний календар 2020,Ната Сорока,ЇS-Shop,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/istoriya/velyka-istoriya-vsoho/,Велика історія всього,Девід Крістіан,Наш Формат,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/rozvyvalni-knyzhky/charivne-rizdvo/,Чарівне Різдво,,Абрикос,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-zarubizhna-proza/retsepty-shchastya/,Рецепти щастя,,Book Chef,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/fentezi/ranishe-nizh-yikh-povisyat-knyha-2/,Раніше ніж їх повісять. Книга 2,Джо Аберкромбі,Клуб Сімейного Дозвілля,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/kazky/myshachyj-dim-sema-i-dzhuliyi/,Мишачий дім Сема і Джулії,Каріна Схапман,Видавництво Старого Лева,2019,Ukrainian
book-ye.com.ua,https://book-ye.com.ua/catalog/suchasna-ukrayinska-proza/ostriv-sylvestra/,Острів Сильвестра,Володимир Лис,Клуб Сімейного Дозвілля,2020,Ukrainian
