Site,Link,Name,Author,Publisher,Year,Language
yakaboo.ua,https://www.yakaboo.ua/ua/ukraina-politiko-administrativna-karta-1-1-500-000-1884214.html,Україна. Політико-адміністративна карта. 1:1 500 000,,Українська Картографічна Група,2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/vid-mak-komplekt-iz-8-knig.html,Відьмак (комплект із 8 книг),Анджей Сапковський,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2017,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/evropa-politichna-karta-1-11-000-000.html,Європа. Політична карта. 1:11 000 000,,Українська Картографічна Група,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/lechimsja-sodoj-1763428.html,Лечимся содой,Влада Липовецька,Лотос,2018,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/hochu-i-budu-prinjat-sebja-poljubit-zhizn-i-stat-schastlivym.html,"Хочу и буду. Принять себя, полюбить жизнь и стать счастливым",Михайло Лабковський,Альпіна Паблішер,2018,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/dpa-2020-matematika-zbirnik-zavdan-9-klas.html,ДПА 2020. Математика. Збірник завдань. 9 клас,"Олександр Істер, Оксана Єргіна",Генеза,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/listi-rizdvjanogo-dida.html,Листи Різдвяного Діда,Джон Р. Р. Толкін,Астролябія,2017,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/mistectvo-govoriti-taemnici-efektivnogo-spilkuvannja.html,"Мистецтво говорити. Таємниці ефективного спілкування
Talkability: Discover the Secrets of Effective Conversation",Джеймс Борг,Фабула,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/interaktivnij-zoshit-dlja-psihiv.html,"Інтерактивний зошит для психів
The Big Activity Book for Anxious People","Рід Джордан, Ерін Вільямс",Snowdrop,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/ja-nina.html,"Я, Ніна","Ольга Купріян, Яніна Соколова",#книголав,2019,Ukrainian
