Site,Link,Name,Author,Publisher,Year,Language
bukva.ua,https://bukva.ua/ua/catalog/browse/325/1/754922,"Думай, як Amazon. Як стати лідером у цифровому світі: 50 1/2 ідей",Джон Россман,КМ-Букс,2020,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/370/1/754920,Хочу все знати. Комплект,Генрі Брук,КМ-Букс,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/4361/1/754919,Франк Ейнштейн. Комплект,Джон Щєшка,КМ-Букс,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/527/1/754918,Лицар Смарагдієвого ордену. Комплек,Юлія Червінська,КМ-Букс,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/4361/1/754909,Препогані діти. Комплект,Девід Вольямс,КМ-Букс,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/1295/1/754893,Лідер без титулу,Робін Шарма,КМ-Букс,,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/366/1/754881,Математика. Вчимося обчислювати усно. 1-4 класи,А. Заіка,Торсинг,2018,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/366/1/754880,Математика . Розв'язуємо нестандартні задачі. 1-4 класи,Ірина Лісіцина,Торсинг,2018,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/366/1/754879,Довідник молодшого школяра Я відмінник,"Олена Меренцова, Світлана Моісеєнко",Торсинг,,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/271/1/754876,Убивчий білий,Роберт Галбрейт,КМ-Букс,2020,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/347/1/754873,Сучасний український правопис в таблицях і схемах,К. Білик,Торсинг,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/2374/1/754844,English. Усі розмовні англійські теми,Ольга Волкова,Торсинг,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/2374/1/754843,English. Усі англійські фрази та діалоги,Л. Зіноєва,Торсинг,2019,Ukrainian
bukva.ua,https://bukva.ua/ua/catalog/browse/347/1/754842,Язык мой — друг мой?,Рустам Гаджиев,Діпа вид-во,2020,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/2216/1/754841,Трамп и эпоха постправды,Кен Уилбер,"Манн, Иванов и Фербер",2018,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/2075/1/754840,Триумф семян. Как семена покорили растительный мир и повлияли на человеческую цивилизацию,Тор Хэнсон,Альпина Нон-фикшн,2018,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/312/1/754839,Однажды не в Америке. Краткое пособие по завоеванию мира подручными средствами,Владислав Моисеев,"Манн, Иванов и Фербер",2017,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/312/1/754838,Биография искусства. Viva la Фрида,Кристина Буррус,"Манн, Иванов и Фербер",2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/312/1/754837,"Гонка за Нобелем. История о космологии, амбицияхи высшей научной награде",Брайан Китинг,Альпина Нон-фикшн,2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/2075/1/754836,Сотворение Земли: Как живые организмы создали наш мир,Андрей Журавлев,Альпина Нон-фикшн,2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/370/1/754835,Анатомия. Интерактивный атлас с клапанами и резными иллюстрациями,Елен Дрювер,"Манн, Иванов и Фербер",2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/256/1/754834,Судьбы моды,Александр Васильев,Альпина Нон-фикшн,2018,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/224/1/754833,Правила тренировок Брюса Ли. Раскрой возможности,"Брюс Ли, Джот Литтл","Манн, Иванов и Фербер",2018,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/323/1/754832,Тяжелый случай. Записки хирурга,Атул Гаванде,Альпина Бизнес Букс,2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/383/1/754831,Цивилизации. Образы людей и богов в искусстве от Древнего мира до наших дней,Мэри Бирд,Альпина Нон-фикшн,2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/379/1/754830,Путешествие писателя. Мифологические структуры в литературе и кино,Кристофер Воглер,Альпина Нон-фикшн,2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/379/1/754829,"Школа литературного и сценарного мастерства. От замысла до результата: рассказы, романы, статьи",Юрген Вольф,Альпина Нон-фикшн,2018,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/379/1/754828,Модное восхождение. Воспоминания первого стритста,Билл Каннингем,"Манн, Иванов и Фербер",2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/379/1/754827,Как снимается кино. История кинематографа,Адам Оллсач Бордмен,"Манн, Иванов и Фербер",2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/386/1/754826,Маэстро и их музыка. Как работают великие дирижеры,Джон Мосері,"Манн, Иванов и Фербер",2019,Russian
bukva.ua,https://bukva.ua/ua/catalog/browse/377/1/754825,"Творческий оракул. Подсказки для жизни, работы и вдохновения от величайших художников",Катя Тылевич,"Манн, Иванов и Фербер",2018,Russian
