Site,Link,Name,Author,Publisher,Year,Language
yakaboo.ua,https://www.yakaboo.ua/ua/bud-not-buddy-2084270.html,"Bud, Not Buddy",Крістофер Кертіс,Corgi Books,2012,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-moon-riders.html,The Moon Riders,Тереса Томлінсон,Corgi Books,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/voyage-of-the-snake-lady.html,Voyage Of The Snake Lady,Тереса Томлінсон,Corgi Books,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-thousand-eyes-of-night.html,The Thousand Eyes Of Night,Роберт Свінделлс,Corgi Books,1993,English
yakaboo.ua,https://www.yakaboo.ua/ua/special-operations-wolf-squadron.html,Special Operations: Wolf Squadron,Крейг Сімпсон,Corgi Books,2016,English
yakaboo.ua,https://www.yakaboo.ua/ua/secrets-at-st-jude-s-party-girl.html,Secrets at St Jude's: Party Girl,Кармен Рід,Corgi Books,2011,English
yakaboo.ua,https://www.yakaboo.ua/ua/hope-was-here.html,Hope Was Here,Джоан Бауер,Corgi Books,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/love-fifteen.html,"Love, Fifteen",Рос Асквіт,Corgi Books,2014,English
yakaboo.ua,https://www.yakaboo.ua/ua/monster-shoes.html,Monster Shoes,Єма Лейбоурн,Corgi Books,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/paws-and-whiskers.html,Paws and Whiskers,Жаклін Уілсон,Corgi Books,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/my-sister-jodie.html,My Sister Jodie,Жаклін Уілсон,Corgi Books,2009,English
yakaboo.ua,https://www.yakaboo.ua/ua/little-stars.html,Little Stars,Жаклін Уілсон,Corgi Books,2016,English
yakaboo.ua,https://www.yakaboo.ua/ua/dragon-horse.html,Dragon Horse,Пітер Уорд,Corgi Books,2014,English
yakaboo.ua,https://www.yakaboo.ua/ua/skylark.html,Skylark,Меган Спунер,Corgi Books,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/the-intruders-2081239.html,The Intruders,,Corgi Books,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/deep-water.html,Deep Water,Дебі Гліорі,Corgi Books,2014,English
yakaboo.ua,https://www.yakaboo.ua/ua/deep-fear.html,Deep Fear,Дебі Гліорі,Corgi Books,2015,English
yakaboo.ua,https://www.yakaboo.ua/ua/kitty-2083922.html,Kitty,Уільям Корлетт,Corgi Books,2012,English
yakaboo.ua,https://www.yakaboo.ua/ua/darkling-2085707.html,Darkling,Кетлін Пейтон,Corgi Books,2013,English
yakaboo.ua,https://www.yakaboo.ua/ua/my-now-or-never-diary.html,My Now or Never Diary,Ліз Реттіг,Corgi Books,2014,English
