Site,Link,Name,Author,Publisher,Year,Language
grenka.ua,https://grenka.ua/347099/na-zapakh-m-yasa,На запах м’яса,Люко Дашвар,"Книжный клуб ""Клуб семейного досуга""",2019,Ukrainian
grenka.ua,https://grenka.ua/346917/ehrektus,Эректус,Ксавье Мюллер,"Книжный клуб ""Клуб семейного досуга""",2019,Russian
grenka.ua,https://grenka.ua/346323/germaniya-bismarka-imperiya-v-tsentre-evropy,Германия Бисмарка. Империя в центре Европы,Николай Власов,Наука,,Russian
grenka.ua,https://grenka.ua/346289/vpered-za-mriyeyu-vidvaga-kreativnist-i-sila-zmin,"Вперед за мрією. Відвага, креативність і сила змін","Бет Комсток, Тал Рез",Yakaboo Publishing,2019,Ukrainian
grenka.ua,https://grenka.ua/346271/detskaya-ehntsiklopediya-tela-cheloveka,Детская энциклопедия тела человека,Клэр Гибберт,Виват,2020,Russian
grenka.ua,https://grenka.ua/346219/serga-artemidy,Серьга Артемиды,Татьяна Устинова,Форс,2020,Russian
grenka.ua,https://grenka.ua/346117/printsessa-pikkirikki,Принцесса Пиккирикки,Ханнеле Лампела,Речь,,Russian
grenka.ua,https://grenka.ua/345853/klub-chervonikh-kediv-podrugi-forever,Клуб червоних кедів. Подруги forever!,Ана Пунсет,Видавництво Старого Лева,2019,Ukrainian
grenka.ua,https://grenka.ua/345839/mva-za-10-dniv,МВА за 10 днів,Стівен Сільбіґер,Видавництво Старого Лева,2019,Ukrainian
grenka.ua,https://grenka.ua/345759/divchata-vlogerki-lyusi-loket-onlajn-katastrofa,Дівчата-влогерки. Люсі Локет: онлайн-катастрофа,Эмма Мосс,Ранок,2020,Ukrainian
grenka.ua,https://grenka.ua/343959/istoriya-animatsiyi-yak-narodzhuyetsya-mistetstvo,Історія анімації. Як народжується мистецтво,Нікіта Кравцов,ArtHuss,2019,Ukrainian
grenka.ua,https://grenka.ua/343915/pokhititeli-brilliantov,Похитители бриллиантов,Луи Буссенар,Азбука,,Russian
grenka.ua,https://grenka.ua/343799/otbor-ehlita-edinstvennaya-trilogiya,Отбор. Элита. Единственная. Трилогия,Кира Касс,Азбука,,Russian
grenka.ua,https://grenka.ua/343167/kak-ya-provel-leto,Как я провел лето,Андрей Неклюдов,Рипол Классик,2016,Russian
grenka.ua,https://grenka.ua/342853/zhena-bankira,Жена банкира,Кристина Алгер,"Книжный клуб ""Клуб семейного досуга""",2020,Russian
grenka.ua,https://grenka.ua/342381/rozumnij-nastinnij-kalendar-na-2020-rik-12-soft-skills-21-stolittya,Розумний настінний календар на 2020 рік '12 soft skills 21 століття',,Моноліт-Bizz,2019,Russian
grenka.ua,https://grenka.ua/342183/molochnik,Молочник,Анна Бернс,Форс,2019,Russian
grenka.ua,https://grenka.ua/342039/wild-at-home-kak-prevratit-svoj-dom-v-zelenyj-raj,Wild at home. Как превратить свой дом в зеленый рай,Хилтон Картер,Форс,2019,Russian
grenka.ua,https://grenka.ua/342009/izmeny-sladost-i-gorech-zapretnykh-otnoshenij,Измены. Сладость и горечь запретных отношений,Розита Горбачева,Брайт Букс,2019,Russian
grenka.ua,https://grenka.ua/341963/minecraft-nich-kazhaniv,Minecraft. Ніч Кажанів,Нік Еліопулос,Artbooks,2019,Ukrainian
grenka.ua,https://grenka.ua/341925/schaste-vnutri-legkie-retsepty-dlya-strojnosti-i-krasoty,Счастье внутри. Легкие рецепты для стройности и красоты,Светлана Шидловская,ЭКСМО,,Russian
grenka.ua,https://grenka.ua/340823/kniga-nashego-detstva,Книга нашего детства,Ирина Лукьянова,Росмэн,,Russian
grenka.ua,https://grenka.ua/340819/charlz-darvin-revolyutsiya,Чарлз Дарвин. Революция,Аннабель Кремер,Белая ворона,,Russian
grenka.ua,https://grenka.ua/340815/dengi-i-zakon-prityazheniya-60-kart,Деньги и Закон Притяжения (60 карт),"Джерри Хикс, Эстер Хикс",Весь,2009,Russian
grenka.ua,https://grenka.ua/340791/luna-i-grosh,Луна и грош,Сомерсет Моэм,АСТ,,Russian
grenka.ua,https://grenka.ua/340729/krizhane-sertse-superkomplekt-z-2-knig,Крижане серце (суперкомплект з 2 книг),Колектив авторів,Егмонт Україна,2019,Ukrainian
grenka.ua,https://grenka.ua/340721/napoleonov-oboz-superkomplekt-iz-3-knig,Наполеонов обоз (суперкомплект из 3 книг),Дина Рубина,Форс,2019,Russian
grenka.ua,https://grenka.ua/340705/dvobij-za-pravdu-pravila-interv-yu-mustafi-najyema,Двобій за правду. Правила інтерв’ю Мустафи Найєма,"Мустафа Найєм, Тетяна Терен",Пабулум,2019,Ukrainian
grenka.ua,https://grenka.ua/340547/yak-protrinkati-miljon-yakogo-nemaye-j-inshi-istoriyi-yevrejskogo-khlopchika-1-2-komplekt-z-2-knig,"Як протринькати мільйон, якого немає, й інші історії єврейського хлопчика 1+2 (комплект з 2 книг)",Гарік Корогодський,Майстер книг,2019,Ukrainian
grenka.ua,https://grenka.ua/340379/21-urok-dlya-21-veka,21 урок для 21 века,Юваль Ной Харари,Синдбад,,Russian
grenka.ua,https://grenka.ua/340347/fizicheskij-intellekt-kak-slyshat-svoe-telo-i-upravlyat-ehmotsiyami,Физический интеллект. Как слышать свое тело и управлять эмоциями,"Клэр Дэйл, Патрисия Пейтон",Альпина Паблишер,,Russian
grenka.ua,https://grenka.ua/340153/1000-i-1-den-i-noch-bez-seksa-belaya-i-chernaya-knigi-superkomplekt-iz-2-knig,1000 и 1 день и ночь без секса. Белая и Черная книги (суперкомплект из 2 книг),Наталья Краснова,Форс,2019,Russian
grenka.ua,https://grenka.ua/340127/malenkij-plokhoj-zayats-ili-vzaimosvyaz-religii-i-okruzhayushhej-sredy,"Маленький плохой заяц, или Взаимосвязь религии и окружающей среды",Константин Михайлов,Альпина нон-фикшн,,Russian
grenka.ua,https://grenka.ua/340119/neveroyatnye-zhenshhiny-kotorye-izmenili-iskusstvo-i-istoriyu,"Невероятные женщины, которые изменили искусство и историю","Бриджет Куинн, Лиза Конгдон","Манн, Иванов и Фербер",,Russian
grenka.ua,https://grenka.ua/340115/nauka-uspekha-kak-fokusirovatsya-na-vazhnom-i-najti-svoj-unikalnyj-put,Наука успеха. Как фокусироваться на важном и найти свой уникальный путь,Исайя Хенкель,Альпина Паблишер,,Russian
grenka.ua,https://grenka.ua/340095/distsiplina-bez-dram-kak-pomoch-rebenku-vospitat-kharakter,Дисциплина без драм. Как помочь ребенку воспитать характер,"Тина Брайсон, Даниель Сигел",Альпина Паблишер,,Russian
grenka.ua,https://grenka.ua/340079/karandash-nadezhdy-nevydumannaya-istoriya-o-tom-kak-prostoj-chelovek-mozhet-izmenit-mir,"Карандаш надежды. Невыдуманная история о том, как простой человек может изменить мир",Адам Браун,Центр навчальної літератури,2019,Russian
grenka.ua,https://grenka.ua/340061/vogon-z-kholodnogo-yaru,Вогонь з Холодного яру,Іван Лютий-Лютенко,Центр навчальної літератури,2019,Ukrainian
grenka.ua,https://grenka.ua/339883/plemya-kak-vyzhit-v-mire-totalnogo-odinochestva,Племя. Как выжить в мире тотального одиночества,Себастиан Джунгер,Форс,2019,Russian
grenka.ua,https://grenka.ua/339797/dzhoker,Джокер,"Лі Бермехо, Браян Аззарелло",Рідна Мова,2019,Ukrainian
grenka.ua,https://grenka.ua/339785/dnevnik-knigotorgovtsa-superkmplekt-iz-2-knig,Дневник книготорговца (суперкомплект из 2 книг),Шон Байтелл,КоЛибри,2019,Russian
grenka.ua,https://grenka.ua/339763/tvoyi-listi-ya-zberigayu-pid-matratsom,Твої листи я зберігаю під матрацом,Астрід Ліндгрен,Рідна Мова,2019,Ukrainian
grenka.ua,https://grenka.ua/339755/strannaya-strana,Странная страна,Мюриель Барбери,Азбука,,Russian
grenka.ua,https://grenka.ua/339647/zapiski-knigotorgovtsa,Записки книготорговца,Шон Байтелл,КоЛибри,,Russian
grenka.ua,https://grenka.ua/339577/korol-artur-i-rytsari-kruglogo-stola,Король Артур и рыцари Круглого стола,Питер Акройд,Альпина нон-фикшн,,Russian
grenka.ua,https://grenka.ua/339573/risujte-kak-fashion-dizajner-uroki-vizualnogo-stilya,Рисуйте как fashion-дизайнер. Уроки визуального стиля,Елена Астахова,"Манн, Иванов и Фербер",,Russian
grenka.ua,https://grenka.ua/339239/inostrannye-yazyki-s-legkostyu-i-udovolstviem,Иностранные языки с легкостью и удовольствием,И. Шореть,Центр навчальної літератури,2019,Russian
grenka.ua,https://grenka.ua/339079/chizkejk-vnutri-superkomplekt-iz-3-knig,Чизкейк внутри (суперкомплект из 3 книг),Виктория Мельник,Форс,2019,Russian
grenka.ua,https://grenka.ua/338729/yak-bagati-krayini-stali-bagatimi-i-chomu-bidni-krayini-zalishayutsya-bidnimi,Як багаті країни стали багатими... І чому бідні країни залишаються бідними,Ерік Райнерт,Саммит-Книга,2019,Ukrainian
grenka.ua,https://grenka.ua/338615/kod-voznagrazhdenie,Код: Вознаграждение,Анна Богинская,Саммит-Книга,2019,Russian
grenka.ua,https://grenka.ua/338313/zlamaj-kod-investora,Зламай код інвестора,Джуді Робінетт,Саммит-Книга,2019,Ukrainian
grenka.ua,https://grenka.ua/338201/listi-vid-pana-tukana-z-gruziyi,Листи від пана Тукана з Грузії,Катерина Перконос,Mamino,2019,Ukrainian
grenka.ua,https://grenka.ua/338157/buti-i-mati,Бути і мати,Марсель Габріель,Центр навчальної літератури,2019,Ukrainian
grenka.ua,https://grenka.ua/338143/mama-i-sin-yak-virostiti-z-khlopchika-cholovika,Мама і син. Як виростити з хлопчика чоловіка,Мег Мікер,Центр навчальної літератури,2019,Ukrainian
grenka.ua,https://grenka.ua/337729/winterra-legenda-kazkovogo-krayu,Winterra. Легенда казкового краю,Колектив авторів,BookChef,2019,Ukrainian
grenka.ua,https://grenka.ua/337477/ukrayintsi-narodni-viruvannya-povir-ya-demonologiya,"Українці: народні вірування, повір'я, демонологія",Анатолій Пономарьов,Центр навчальної літератури,2019,Ukrainian
grenka.ua,https://grenka.ua/337475/tayemnitsi-mami-shho-dobre-spit,"Таємниці мами, що добре спить","Трейсі Хогг, Мелінда Блау",Центр навчальної літератури,2019,Ukrainian
grenka.ua,https://grenka.ua/337471/100-rasskazov-iz-istorii-meditsiny-velichajshie-otkrytiya-podvigi-i-prestupleniya-vo-imya-vashego-zdorovya-i-dolgoletiya,"100 рассказов из истории медицины. Величайшие открытия, подвиги и преступления во имя вашего здоровья и долголетия",Михаил Шифрин,Альпіна Паблішер,2019,Russian
grenka.ua,https://grenka.ua/337179/ty-i-dengi-kak-otkryt-denezhnyj-potok-i-nachat-zhit-v-izobilii,Ты и деньги. Как открыть денежный поток и начать жить в изобилии,Елена Друма,Форс,2019,Russian
grenka.ua,https://grenka.ua/337171/vyklyuchi-rabotu-vklyuchi-zhizn-realistichnyj-plan-po-izbavleniyu-ot-oderzhimosti-rabotoj,"Выключи работу, включи жизнь. Реалистичный план по избавлению от одержимости работой",Брайан Робинсон,Форс,2019,Russian
grenka.ua,https://grenka.ua/337127/bojkivske-vesillya,Бойківське весілля,"Ольга Фреймут, Наталія Хібеба",,2019,Ukrainian
grenka.ua,https://grenka.ua/336947/kult-domashnej-edy-zavtraki-obedy-uzhiny,"Культ домашней еды. Завтраки, обеды, ужины",Гордон Рамзи,КоЛибри,,Russian
grenka.ua,https://grenka.ua/336855/chelovek-protivnyj-zachem-nashemu-bezuprechnomu-telu-stolko-nesovershenstv,Человек Противный. Зачем нашему безупречному телу столько несовершенств,Йаэль Адлер,Форс,2019,Russian
grenka.ua,https://grenka.ua/336381/libertarianstvo-istoriya-printsipy-politika,"Либертарианство. История, принципы, политика",Дэвид Боуз,Социум,,Russian
grenka.ua,https://grenka.ua/336117/daruyushhij-zvezdy,Дарующий звезды,Джоджо Мойес,Иностранка,,Russian
grenka.ua,https://grenka.ua/336109/1000-i-1-den-bez-seksa-belaya-kniga-chem-zanimalas-ya-poka-vy-zanimalis-seksom,"1000 и 1 день без секса. Белая книга. Чем занималась я, пока вы занимались сексом",Наталья Краснова,Форс,2019,Russian
grenka.ua,https://grenka.ua/335827/use-chogo-mi-bazhali,"Усе, чого ми бажали",Емілі Гіффін,Виват,2019,Ukrainian
grenka.ua,https://grenka.ua/335487/bestsellery-fredrika-bakmana-superkomplekt-iz-4-knig,Бестселлеры Фредрика Бакмана (суперкомплект из 4 книг),Фредрик Бакман,Синдбад,,Russian
grenka.ua,https://grenka.ua/335277/slajm-kak-samim-delat-tyaguchie-pupyrchatye-blestyashhie-i-raznotsvetnye-lizuny,"Слайм. Как самим делать тягучие, пупырчатые, блестящие и разноцветные лизуны",Натали Райт,Попурри,2019,Russian
grenka.ua,https://grenka.ua/335113/minecraft-dovidniki-superkomplekt-z-4-knig,Minecraft. Довідники (суперкомплект з 4 книг),"Крейг Джеллі, Стефані Мілтон, Алекс Вілтшир",Artbooks,2019,Ukrainian
grenka.ua,https://grenka.ua/334875/vse-tsvety-parizha,Все цветы Парижа,Сара Джио,Форс,2019,Russian
grenka.ua,https://grenka.ua/334871/prigodi-mishenyati-despero-superkomplekt-z-5-knig,Пригоди мишеняти Десперо (суперкомплект з 5 книг),Кейт ДіКамілло,Рідна Мова,"2018, 2016",Ukrainian
grenka.ua,https://grenka.ua/334793/umnyj-nastennyj-kalendar-na-2020-god-12-soft-skills-21-veka,Умный настенный календарь на 2020 год '12 soft skills 21 века',,Моноліт-Bizz,2019,Russian
grenka.ua,https://grenka.ua/334775/lina-kostenko,Ліна Костенко,Олег Кудрін,Фолио,2019,Russian
grenka.ua,https://grenka.ua/334771/v-otochenni-psikhopativ-abo-yak-uniknuti-manipulyatsij-z-boku-inshikh,"В оточенні психопатів, або Як уникнути маніпуляцій з боку інших",Томас Еріксон,Фолио,2019,Ukrainian
grenka.ua,https://grenka.ua/334753/sila-tvoyeyi-istoriyi-zvilni-svij-vnutrishnij-golos,Сила твоєї історії. Звільни свій внутрішній голос,"Эль Луна, Сьюзи Херрик",Моноліт-Bizz,2019,Ukrainian
grenka.ua,https://grenka.ua/334745/zavtrak-u-tiffani,Завтрак у Тиффани,Трумен Капоте,Иностранка,,Russian
