Site,Link,Name,Author,Publisher,Year,Language
yakaboo.ua,https://www.yakaboo.ua/ua/radikal-noe-proschenie-duhovnaja-tehnologija-dlja-iscelenija-vzaimootnoshenij-izbavlenija-ot-gneva-i-chuvstva-viny-nahozhdenija-vzaimoponimanija-v-ljuboj-situacii-1853698.html,"Радикальное Прощение: Духовная технология для исцеления взаимоотношений, избавления от гнева и чувства вины, нахождения взаимопонимания в любой ситуации
Radical Forgiveness. A Revolutionary Five-Stage Process to Heal Relationships, Let Go of Anger and Blame, Find Peace in Any Situation",Колін Тіппінг,София,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/pidgotovka-do-zno-2020-komplekt-iz-2-knig.html,Підготовка до ЗНО 2020 (комплект із 2 книг),"Марія Блажко, Олександр Авраменко",Грамота,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/bigmoney-principy-pervyh.html,Big Money: принципы первых. Откровенно о бизнесе и жизни успешных предпринимателей,Євгеній Черняк,Форс,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/hochu-i-budu-prinjat-sebja-poljubit-zhizn-i-stat-schastlivym.html,"Хочу и буду. Принять себя, полюбить жизнь и стать счастливым",Михайло Лабковський,Альпіна Паблішер,2018,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/mistectvo-govoriti-taemnici-efektivnogo-spilkuvannja.html,"Мистецтво говорити. Таємниці ефективного спілкування
Talkability: Discover the Secrets of Effective Conversation",Джеймс Борг,Фабула,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/misto-divchat.html,Місто дівчат,Елізабет Ґілберт,Видавництво Старого Лева,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/ja-nina.html,"Я, Ніна","Ольга Купріян, Яніна Соколова",#книголав,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/istorija-ukraini-kompleksne-vidannja-zno-2020.html,Історія України. Комплексне видання. ЗНО 2020,Віталій Власов,Літера ЛТД,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/rizdvozavr.html,"Різдвозавр
The Christmasaurus",Том Флетчер,Видавництво Старого Лева,2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/knigi/knigi-na-inostrannyh-jazykah/ukrainskij/feliks-avstrija.html,Фелікс Австрія,Софія Андрухович,Видавництво Старого Лева,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/garri-potter-i-filosofs-kij-kamin.html,"Гаррі Поттер і філософський камінь
Harry Potter and The Philosopher's Stone",Джоан Роулінг,А-ба-ба-га-ла-ма-га,2016,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/mba-za-10-dniv.html,MBA за 10 днів,Стівен Сілбігер,Видавництво Старого Лева,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/malen-ki-zhinki-kniga-1.html,"Маленькі жінки. Книга 1
Little Women",Луїза Мей Олкотт,Фоліо,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/klub-chervonih-kediv-podrugi-forever.html,"Клуб червоних кедів. Подруги forever!
Amigas forever!",Ана Пунсет,Видавництво Старого Лева,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/malen-ki-zhinki-kniga-2.html,"Маленькі жінки. Книга 2
Good Wives",Луїза Мей Олкотт,Фоліо,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/sila-introvertiv-tihi-ljudi-u-sviti-scho-ne-mozhe-movchati.html,"Сила інтровертів. Тихі люди у світі, що не може мовчати
Quiet: The Power of Introverts in a World That Can't Stop Talking",Сьюзен Кейн,Наш Формат,2016,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/chudovij-ranok-jak-ne-prospati-zhittja.html,"Чудовий ранок. Як не проспати життя 
The Miracle Morning. The Not-So-Obvious Secret Guaranteed to Transform Your Life (Before 8AM)",Гел Елрод,Наш Формат,2017,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/ljudina-rozumna-istorija-ljudstva-vid-minulogo-do-majbutn-ogo.html,"Людина розумна. Історія людства від минулого до майбутнього
Sapiens. A Brief History of Humankind",Ювал Ной Харарі,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/chomu-nacii-zanepadajut-pohodzhennja-vladi-bagatstva-i-bidnosti.html,"Чому нації занепадають? Походження влади, багатства і бідності
Why Nations Fail: The Origins of Power, Prosperity, and Poverty","Джеймс Робінсон, Дарон Аджемоглу",Наш Формат,2016,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/minecraft-nich-kazhaniv.html,"Minecraft. Ніч кажанів
Minecraft. Night of the Bats",Нік Еліопулос,Артбукс,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/bog-zavzhdi-podorozhue-inkognito.html,"Бог завжди подорожує інкогніто
Dieu voyage toujours incognito",Лоран Гунель,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2016,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/shantaram-komplekt-iz-2-knig.html,"Шантарам (комплект из 2 книг)
Shantaram",Грегорі Девід Робертс,Азбука,2013,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/malechi-pro-intimni-rechi.html,Малечі про інтимні речі,Юлія Ярмоленко,Талант,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/atlas-shrugged-1092017.html,"Атлант расправил плечи (комплект из 3 книг)
Atlas Shrugged",Айн Ренд,Альпіна Паблішер,2018,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/taemna-opora-emocijnij-zv-jazok-u-zhitti-ditini.html,Таємна опора. Емоційний зв'язок у житті дитини,Людмила Петрановська,Vivat,2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/toreadori-z-vasjukivki.html,Тореадори з Васюківки,Всеволод Нестайко,А-ба-ба-га-ла-ма-га,2013,Ukrainian
