Date,Site,Category,Language,Count,Percent
2020-01-12,book-ye.com.ua,new,English,28,6.061
2020-01-12,book-ye.com.ua,new,Russian,34,7.359
2020-01-12,book-ye.com.ua,new,Ukrainian,400,86.580
2020-01-12,book-ye.com.ua,popular,Ukrainian,30,100.000
2020-01-12,yakaboo.ua,new,English,262,86.755
2020-01-12,yakaboo.ua,new,Hebrew,2,0.662
2020-01-12,yakaboo.ua,new,Russian,18,5.960
2020-01-12,yakaboo.ua,new,Ukrainian,20,6.623
2020-01-12,yakaboo.ua,popular,English,11,3.595
2020-01-12,yakaboo.ua,popular,Russian,110,35.948
2020-01-12,yakaboo.ua,popular,Ukrainian,185,60.458
2020-01-13,book-ye.com.ua,new,English,26,5.616
2020-01-13,book-ye.com.ua,new,Russian,35,7.559
2020-01-13,book-ye.com.ua,new,Ukrainian,402,86.825
2020-01-13,book-ye.com.ua,popular,Ukrainian,30,100.000
2020-01-13,yakaboo.ua,new,English,279,93.000
2020-01-13,yakaboo.ua,new,Russian,9,3.000
2020-01-13,yakaboo.ua,new,Ukrainian,12,4.000
2020-01-13,yakaboo.ua,popular,English,11,3.595
2020-01-13,yakaboo.ua,popular,Russian,108,35.294
2020-01-13,yakaboo.ua,popular,Ukrainian,187,61.111
